id,Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
1,https://commons.wikimedia.org/wiki/File:Dom_of_the_Rock-10.JPG,"A clear image of the Dome of the Rock in Jerusalem, showcasing its iconic golden dome. It is one of the most important Islamic and historical landmarks in Palestine.",Palestine,Sunny,Afternoon,Summer,Sightseeing,Nostalgia
3,https://upload.wikimedia.org/wikipedia/commons/3/3b/https://upload.wikimedia.org/wikipedia/commons/3/3c/Ruins_by_Seabastia_06.jpg.jpg,"A clear image of the ancient ruins in Sebastia near Nablus, showing stone columns and archaeological remains from the Roman period under a bright blue sky.",Palestine,Sunny,Afternoon,Summer,Exploring,Adventure
4,https://upload.wikimedia.org/wikipedia/commons/0/02/2012%D8%AF%D9%8A%D8%B1_%D9%85%D8%A7%D8%B1%D8%B3%D8%A7%D8%A8%D8%A7.jpg,"A clear image of Mar Saba Monastery in Bethlehem, built dramatically along the cliffside of the desert valley, showcasing its ancient stone architecture.",Palestine,Sunny,Afternoon,Summer,Sightseeing,
5,https://upload.wikimedia.org/wikipedia/commons/c/cf/Ziko.jpg,"A clear aerial view of Tell es-Sultan in Jericho, showing the archaeological mound, excavation areas, and surrounding desert landscape.",Palestine,Sunny,Morning,Spring,Exploring,Curiosity
6,https://upload.wikimedia.org/wikipedia/commons/f/fa/Great_Wall_of_China_July_2006.JPG,A bright and clear view of the Great Wall of China stretching across lush green mountains under a blue sky with scattered white clouds.,China,Sunny,Morning,Summer,Hiking,Adventure
7,https://upload.wikimedia.org/wikipedia/commons/9/91/Eriyadu_Island._View_from_the_west._Maldives.jpg,"A bright and peaceful beach view in the Maldives, showing crystal-clear turquoise water, white sand, and lush tropical trees, with a wooden walkway leading to the island.",Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness
8,https://images.unsplash.com/photo-1478436127897-769e1b3f0f36,Walking through the endless vermilion torii gates of Fushimi Inari Shrine.,Japan,Sunny,Morning,Spring,Hiking,Nostalgia
10,https://images.unsplash.com/photo-1533632359083-018577794406,The turquoise waters of Moraine Lake surrounded by snowy peaks.,Canada,Sunny,Afternoon,Summer,Hiking,Excitement
12,https://images.unsplash.com/photo-1582967788606-a171f1080ca8,Vibrant coral reefs teeming with underwater life.,Australia,Sunny,Morning,Summer,Swimming,Curiosity
15,https://images.unsplash.com/photo-1533423996375-f914d5e7178a,Colorful houses stacked on the steep cliffs of Positano.,Italy,Sunny,Afternoon,Summer,Relaxing,Romance
16,https://cdn.britannica.com/82/195482-050-2373E635/Amalfi-Italy.jpg,"a small town on top of a cliff with sea view, the place looks clam and the people seems kind",italy,Sunny,Afternoon,Spring,eating,Excitement
17,https://www.outlooktravelmag.com/media/south-africa-1-1582299337.profileImage.2x-scaled-webp.webp,"a town between a huge mountaine and ocean on the other side, looks like a good place",south africa,Sunny,Morning,Summer,Hiking,Adventure
19,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9bprw-Kd46LCxt-3XWWGfLe_phMzXNWO4zQ&s,"4 pyramids 3 in the back and one small in front of them, the last of the seven wonders worth a visit",eygpt,Sunny,Morning,Spring,Sightseeing,Nostalgia
20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSojue3TLjdQe0vaytwcHgCvSrm4M1oPjCYyg&s,"tow big building built with red stone with 1800 style, have some good places to visit and I think I will enjoy it",russia,Cloudy,Afternoon,Fall,Sightseeing,Happiness
21,https://www.renewablematter.eu/assets/Uploads/grande/envatoelements.jpg,"mill in the middle of field and a river running throw the mill, best place to forget everything and connect with nature",netherlands,Cloudy,Afternoon,Fall,Relaxing,Adventure
22,https://www.voyagers.travel/_ipx/w_1200&f_webp&q_85/google/travel-web-app-1.appspot.com/flamelink/media/Machu%20picchu%20-%20Canva%20-%20Petr%20Polak.jpg%3Falt=media,"""wide landscape shot showing the ruins surrounded by the mountains for one of the newest seven wonders of the world""",Peru,Sunny,Morning,Spring,historical sightseeing,Curiosity
23,https://inoldcities.com/wp-content/uploads/2025/08/fresh-snow-in-hallstatt.jpg,"""snowy lakeside village that brings inner peace to the visitor""",Austria,Cloudy,Afternoon,Winter,Relaxing,Melancholy
24,https://wallpapercave.com/wp/wp4223740.jpg,"""one of the modern seven wonders of the world, Christ the Redeemer overlooking to the beaches and the city under bright sun",Brazil,Sunny,Afternoon,Summer,scenic viewpoint sightseeing,Happiness
26,https://c.stocksy.com/a/uf2600/z9/1440254.jpg,"""Horseshoe falls with huge mist cloud and strong water flow """,Canada,Sunny,Afternoon,Winter,Nature sightseeing,
27,https://inoldcities.com/wp-content/uploads/2025/07/sheep-grazing-at-mont-st-michel.jpg,"""Calm countryside atmposphere where sheeps grazing peacefully in the large grassy field in the foreground while the abbey centered in the middle """,France,Cloudy,Evening,Fall,Countryside sightseeing,
28,https://www.travelrebels.com/wp-content/uploads/2021/08/Wat-te-doen-op-madeira-1675x1116.jpg,"""a dramatic mountain landscape with a narrow trail running along the ridgeline during a sunrise""",Portugal,Sunny,Morning,Spring,Hiking,Excitement
29,https://contentapi-swissactivities.imgix.net/contentapi.swissactivities/robin_ulrich_Qu_Z6k_O_Ae_W2o_unsplash_71ce895cd5.jpg,""" valley with Staubbach waterfall, green fields, Swiss houses and mountains",Switzerland,Sunny,Afternoon,Summer,village exploring,Romance
30,https://i.ibb.co/FM248qQ/Maldives.jpg,"A clear aerial view of a Maldives island featuring a white sandy beach, turquoise water, palm trees, and a seaplane parked on the shore. This image represents the peaceful tropical beauty of the Maldives.",Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness
34,https://i.ibb.co/Qv3fvjts/France-Paris.jpg,"A picturesque Parisian street leading to the Eiffel Tower at sunset, with warm light reflecting off historic buildings and cobblestone streets. The soft sky colors highlight the romantic charm of Paris.",France,Sunny,Evening,Fall,Sightseeing,Romance
35,https://i.ibb.co/N6sbK2Vm/Rio-de-Janeiro-RJ-Brasil.jpg,"A golden sunset at Ipanema Beach in Rio de Janeiro, with surfboards in the sand and people enjoying the lively beachfront. The iconic Dois Irmãos mountains create a perfect blend of nature, surf culture, and Brazilian energy.",Brazil,Sunny,Evening,Summer,Relaxing,Happiness
38,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSppEIRfNqKnMaQkoQHX3HI8kX2hhPgXZEO6A&s,White houses and blue domes in Santorini on a bright day,Greece,Sunny,Afternoon,Summer,Relaxing,Happiness
39,https://www.sunsiyam.com/media/qnfnzgmq/ssiv_general_04.jpg?width=782&height=521&mode=max,Turquoise water and overwater bungalows in the Maldives,Maldives,Sunny,Afternoon,Summer,Relaxing,Romance
40,https://i.natgeofe.com/n/69e2cf60-ad59-4d20-bdd1-dc96f40ab4e8/petra-world-heritage-jordan_16x9.jpg?w=1200,The ancient rock-carved facade of Petra between high cliffs,Jordan,Sunny,Afternoon,Summer,Hiking,Curiosity
43,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNU2o4QO_ejTIZXTunBgU6fFvoPYfIcwPCeA&s,The Great Pyramids of Giza under a clear blue sky,Egypt,Sunny,Afternoon,Summer,Sightseeing,Nostalgia
44,"https://res.cloudinary.com/enchanting/q_80,f_auto,c_fit,w_640,h_480/exodus-web/2024/09/AdobeStock_595373053.jpeg",Hot air balloons flying over the rocky valleys of Cappadocia,Turkey,Sunny,Morning,Summer,Hot-air balloon ride,Adventure
45,https://images.pexels.com/photos/2265845/pexels-photo-2265845.jpeg,"A distant view of the Eiffel Tower with surrounding buildings. I chose this place because of its historic charm, iconic architecture, and relaxing atmosphere.",France,Sunny,Evening,Summer,Sightseeing,Happiness
46,https://images.pexels.com/photos/35066432/pexels-photo-35066432.jpeg,A traditional Japanese house surrounded by colorful autumn trees. I chose this place because of its peaceful atmosphere and the beauty of Japanese architecture during the fall season.,Japan,Sunny,Afternoon,Fall,Sightseeing,Curiosity
47,https://images.pexels.com/photos/32585930/pexels-photo-32585930.jpeg,"Fishing boats docked in a scenic harbor in Cape Town. I chose this place because its clear waters, vibrant harbor atmosphere, and sense of adventure make it an exciting travel destination.",South Africa,Sunny,Afternoon,Summer,Hiking,Adventure
48,https://images.pexels.com/photos/26841021/pexels-photo-26841021.jpeg,"A young woman in traditional Peruvian clothes standing among purple spring flowers in Cusco. I chose this place because I’m curious to learn more about its rich history, culture, and beautiful traditional atmosphere.",Peru,Sunny,Morning,Spring,Sightseeing,Curiosity
49,https://images.pexels.com/photos/1450076/pexels-photo-1450076.jpeg,A woman sitting on a log near a snow-covered body of water in Canada. I chose this place for its serene winter landscape and the peaceful feeling of being close to nature.,Canada,Snowy,Morning,Winter,Hiking,Adventure
50,https://images.pexels.com/photos/13043589/pexels-photo-13043589.jpeg,Stands of the Spotify Camp Nou Stadium in Barcelona. I chose this place because of my passion for football and the iconic atmosphere of the stadium.,Spain,Sunny,Afternoon,Spring,Sightseeing,Excitement
51,https://images.pexels.com/photos/5840732/pexels-photo-5840732.jpeg,A portrait of a kangaroo in an Australian animal park. I chose this place because I’m curious to explore Australia’s wildlife and natural environment.,Australia,Sunny,Afternoon,Summer,Sightseeing,Curiosity
52,https://images.pexels.com/photos/13314280/pexels-photo-13314280.jpeg,A massive iceberg floating in Greenland’s icy waters. I chose this place for its breathtaking natural beauty and the sense of adventure in exploring remote polar landscapes.,Greenland,Snowy,Morning,Winter,Sightseeing,Adventure
53,https://images.pexels.com/photos/1450372/pexels-photo-1450372.jpeg,A red hammock tied between two trees in the Maldives. I chose this place for its relaxing atmosphere and the peaceful feeling of enjoying a calm morning by the beach.,Maldives,Sunny,Morning,Summer,Relaxing,Happiness
54,https://images.pexels.com/photos/18139789/pexels-photo-18139789.jpeg,A man riding a horse in traditional clothing in Tunisia. I chose this place for its rich cultural heritage and the charm of experiencing local traditions.,Tunisia,Cloudy,Afternoon,Fall,Sightseeing,Curiosity
55,https://image2url.com/images/1764797123282-1f04db5d-565a-4236-a5bb-4eb884ca30c4.jpg,"Alhambra Palace, A historic Moorish palace in Granada famous for its intricate carvings, gardens, and Islamic architectural beauty.",Spain,Sunny,Afternoon,Summer,Sightseeing,Curiosity
56,https://image2url.com/images/1764796615612-e69f8397-3793-4e75-a6da-429b09513449.jpg,"Umayyad Mosque, A stunning view of the courtyard with golden mosaics and ancient architecture.",Syria,Cloudy,Morning,Fall,Sightseeing,Nostalgia
57,https://image2url.com/images/1764797064281-8ea75e68-733c-4762-8f51-0a68fb90a0dd.jpg,"Giza Pyramids, Camels crossing the desert in front of the iconic Great Pyramid.",Egypt,Cloudy,Afternoon,Spring,Camel Riding,Adventure
58,https://image2url.com/images/1764796690741-87a298f0-1f19-462d-b024-4d82be0793c3.jpg,"Santorini, White cliffside houses overlooking the blue sea with pink bougainvillea trees.",Greece,Sunny,Morning,Spring,Relaxing,Romance
59,https://image2url.com/images/1764803169823-9b6a5ff6-147f-43e5-a09f-1b3baa29e203.jpg,"A traditional market in Fez, where colorful slippers and handmade crafts line the steps, showcasing the city’s rich heritage.",Morocco,Sunny,Afternoon,Summer,Shopping,Excitement
60,https://image2url.com/images/1764796719508-235a6c71-c900-4657-a07d-5a183e5cf833.jpg,"The Australian Alps, known for their high peaks and snowy landscapes, offer some of the country’s highest and most scenic mountain views.",Australia,Snowy,Afternoon,Winter,Hiking,Adventure
61,https://image2url.com/images/1764801856222-892da2a6-4a78-4183-907c-9e6966af42c6.jpg,"Central London, known for its historic streets and iconic red double-decker buses, is one of the city’s most recognizable and vibrant areas.",London,Rainy,Afternoon,Winter,Sightseeing,Romance
70,https://unsplash.com/photos/purple-and-white-flower-garden--LiPS85csDM,Colorful floral pathways inside Dubai Miracle Garden.,UAE,Sunny,Afternoon,Winter,Relaxing,Happiness
71,https://i.pinimg.com/736x/a0/d8/5f/a0d85f67b1994ac8a87c4b9b7952901c.jpg,This photo shows the Eiffel Tower on a morning. I chose this place because it is very famous and I want to visit Paris.,Paris,Sunny,Morning,Fall,Sightseeing,Romance
72,https://i.pinimg.com/1200x/96/3f/c0/963fc0d525782c28029232805c3546c3.jpg,This photo shows the Grand Canyon during sunrise with beautiful colors on the rocks. I chose this place because it looks amazing and I want to visit it one day,USA,Sunny,Morning,Spring,Hiking,Adventure
73,https://i.pinimg.com/1200x/1f/fb/2e/1ffb2e664a125885776b15bfa3009ff2.jpg,"This photo shows the Swiss Alps with a snowy mountain, blue lakes, and green valleys. I chose this place because it looks peaceful and very beautiful.",Switzerland,Sunny,Morning,Summer,Hiking,Happiness
74,https://i.pinimg.com/1200x/f8/bf/d2/f8bfd2192e5c2f39765a5536030f69ba.jpg,This photo shows the Statue of Liberty on a sunny day with a beautiful view of the city behind it. I chose this place because it is very famous and I want to visit New York one day.,USA,Sunny,Afternoon,Fall,Sightseeing,Curiosity
75,https://i.pinimg.com/1200x/91/2d/df/912ddf44f8e109662179c248fa9f0404.jpg,This photo shows beautiful overwater villas in the Maldives during sunset. I chose this place because it looks peaceful and perfect for relaxing,Maldive,Sunny,Evening,Summer,Relaxing,Happiness
